review_id;business_name;category;review_text;review_date;rating;source_url;place_id;address;city
Ci9DQUlRQUNvZENodHljRjlvT21aZlFXbFhTM042VmpsVVUyaE5hbXh6VW5saU5HYxAB;Bakso Pa'jero;Kuliner;Bismillahirohmanirohim rasa bakso kuahnya lumayan, pas beli bakso bakar samurai ekspektasi ketinggian, nunggu bakso bakarnya datang 40 menit, harus ditanyain ke bagian pemesanan, terus disuruh nunggu lagi 5 menit, pas dateng bakso bakarnya gak panas, harus minta diangetin, ternyata datengnya anget doang, padahal judulnya bakso bakar, rasa standard.;02/04/2026 14:30;5;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21aZlFXbFhTM042VmpsVVUyaE5hbXh6VW5saU5HYxAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOmZfQWlXS3N6VjlUU2hNamxzUnliNGc%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT25Sd1NFaHZSVkUxUVUxNFVGQnZNakU0VVdwUU0zYxAB;Bakso Pa'jero;Kuliner;Baksone gak enak, menang viral aja;31/03/2026 20:01;1;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25Sd1NFaHZSVkUxUVUxNFVGQnZNakU0VVdwUU0zYxAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOnRwSEhvRVE1QU14UFBvMjE4UWpQM3c%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT2t4VU1uUlFSMU51UlhORWFWUTNYMHBSVEhoa1dFRRAB;Bakso Pa'jero;Kuliner;udh berkali kali makan di sini.. ga cm cabang ini aja.. tp dikecewain karna pesen bakso goreng udh nunggu setengah jam lebih sampe makanannya habis.. pas nanya ke staff ternyata bakso gorengnya blm mateng dan hrs nunggu lg 15 menit.. mksd saya kalo emg ga siap produknya minimal tawarin ke customer bersedia menunggu lama ga, bknnya malah diem dan nerima orderan aja.. saran mending bagian kasir sm dapur komunikasiny diperbaiki biar ga ngecewain nunggu lama ginj taunya produk ga siap;31/03/2026 00:31;2;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2t4VU1uUlFSMU51UlhORWFWUTNYMHBSVEhoa1dFRRAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOkxUMnRQR1NuRXNEaVQ3X0pRTHhkWEE%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
ChZDSUhNMG9nS0VJQ0FnSURIdWJ5NlNREAE;Bakso Pa'jero;Kuliner;Makanannya enak, tempatnya nyaman, ada tempat solat juga, yg bawa anak2 juga enak karena ada mini playrgound nya. Rekomendasi lah buat yg seneng bakso.;30/03/2026 19:51;4;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURIdWJ5NlNREAE!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CIHM0ogKEICAgIDHuby6SQ%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT2tKVlFWQjNSSGxqYkRsWFlqTlRTM2RXVkY5eVFVRRAB;Bakso Pa'jero;Kuliner;Kuah pedesnya mantep banget, gurih dan pedes nya nendang. Apalagi bakso bakarnya, jadi fav keluarga itu;30/03/2026 18:10;5;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tKVlFWQjNSSGxqYkRsWFlqTlRTM2RXVkY5eVFVRRAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOkJVQVB3RHljbDlXYjNTS3dWVF9yQUE%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT25CeFptWnRhbWhvTFc1d2NsOUxaM0JPUTJrMVQyYxAB;Bakso Pa'jero;Kuliner;Hampir sama dengan review temen temen yang lain. Waktu tunggu lama sampai 40 menitan, nyampe mau cancel tp udah di bayar.. Sampai terskip 4 pengunjung setelah kami malah dapet duluan. Kuahnya nda panas. Bakso halusnya keras. Lampu mati berkali kali. kan di nota ada nomer meja. nda usah Teriak teriak panggil nama.;30/03/2026 16:14;2;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25CeFptWnRhbWhvTFc1d2NsOUxaM0JPUTJrMVQyYxAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOnBxZmZtamhoLW5wcl9LZ3BOQ2k1T2c%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT2xsVGNXNHlaSEowVGxGdVNGUTNVa0paYTBwWWNrRRAB;Bakso Pa'jero;Kuliner;baksonya enak. tapi iga bakarnya duh kok agak bs ya, coba dicek lagi deh;29/03/2026 19:48;3;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xsVGNXNHlaSEowVGxGdVNGUTNVa0paYTBwWWNrRRAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOllTcW4yZHJ0TlFuSFQ3UkJZa0pYckE%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT20xSFEwNUhaV0p1YkVGak1VRTJTWGhHVUhKcGNVRRAB;Bakso Pa'jero;Kuliner;Staff ramah2, pelayanan cepat, rasa baksonya mantap juara banget Rekomen kalo kalian liburan kesini, tempat juga luas dan enak Parkiran mobil dan motor luas;29/03/2026 15:33;5;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT20xSFEwNUhaV0p1YkVGak1VRTJTWGhHVUhKcGNVRRAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOm1HQ05HZWJubEFjMUE2SXhGUHJpcUE%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT2xWSWEyMXpRMFIwTWs1Uk9EWk5UM0JuYmpkR1lrRRAB;Bakso Pa'jero;Kuliner;YUYUR ENDYUL BAKSONYA🤭🤭🫰🏻🫰🏻. kuahnya enakk, daging di baksonya juga berasa. tempat nya bersihh dan pelayanan nya oke sekaliii;29/03/2026 13:19;5;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xWSWEyMXpRMFIwTWs1Uk9EWk5UM0JuYmpkR1lrRRAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOlVIa21zQ0R0Mk5RODZNT3BnbjdGYkE%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
Ci9DQUlRQUNvZENodHljRjlvT200eE0ycDVkWEp4UkRWMmEyRXdXVFpKUm5oemJXYxAB;Bakso Pa'jero;Kuliner;Tempat ini Terkenal dengan Bakso Rusuk/Iga yang memiliki potongan daging sapi empuk dan porsi besar. Sebaiknya hindari jam makan siang jika tidak ingin mengantre, dan cobalah Es Teller-nya sebagai pendamping yang segar.;28/03/2026 22:24;5;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT200eE0ycDVkWEp4UkRWMmEyRXdXVFpKUm5oemJXYxAB!2m1!1s0x0:0x99b3fffaf87195b0!3m1!1s2@1:CAIQACodChtycF9oOm4xM2p5dXJxRDV2a2EwWTZJRnhzbWc%7C%7C?hl=en;ChIJifWlyWhZei4RsJVx-Pr_s5k;Jl. Colombo, Karang Malang, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia;Sleman Regency
